Country,Year,avg_goldstein,avg_tone,mention_share,spike_ratio,missing_baseline,description,cluster
Algeria,2009,0.0604869593259966,4.663859117861478,0.0014385693058969,0.3951809930399456,False,Event volume around its typical baseline (0.4x). Average event tone was positive (4.66). Average Goldstein score was 0.06.,0
Algeria,2010,0.3492508865248228,5.087255174534694,0.0011047568894098,0.3912004853691755,False,Event volume around its typical baseline (0.4x). Average event tone was positive (5.09). Average Goldstein score was 0.35.,0
Algeria,2011,-0.7107267041901187,4.8363110507401705,0.0019456135577372,0.9417374094711074,False,Event volume around its typical baseline (0.9x). Average event tone was positive (4.84). Average Goldstein score was -0.71.,0
Algeria,2012,0.4275299779267006,3.77188846586439,0.001697158887224,0.848631076479879,False,Event volume around its typical baseline (0.8x). Average event tone was positive (3.77). Average Goldstein score was 0.43.,0
Algeria,2013,0.1530984419263455,1.054734162730259,0.0041579426055378,2.491848521436903,False,Event volume somewhat elevated above its typical baseline (2.5x). Average event tone was positive (1.05). Average Goldstein score was 0.15.,3
Algeria,2014,-0.0976692913385827,2.1329312604416915,0.001678175734941,0.8111799320316414,False,Event volume around its typical baseline (0.8x). Average event tone was positive (2.13). Average Goldstein score was -0.10.,0
Algeria,2015,0.0165711406414459,-2.0070302845469645,0.0010259447141864,0.4846838942987383,False,Event volume around its typical baseline (0.5x). Average event tone was negative (-2.01). Average Goldstein score was 0.02.,1
Algeria,2016,0.6087854676159351,-2.4477345256462626,0.0009623343699504,0.4580435219497913,False,Event volume around its typical baseline (0.5x). Average event tone was negative (-2.45). Average Goldstein score was 0.61.,1
Algeria,2017,0.5000334288443171,-2.714836342896265,0.0005478029120123,0.2876645865819289,False,Event volume around its typical baseline (0.3x). Average event tone was negative (-2.71). Average Goldstein score was 0.50.,1
Algeria,2018,0.7679132236562896,-2.424187521565784,0.0007285682836492,0.4351115921472775,False,Event volume around its typical baseline (0.4x). Average event tone was negative (-2.42). Average Goldstein score was 0.77.,1
Algeria,2019,-0.2721736379874963,-3.573630736352764,0.0013303983026823,1.3457871051045207,False,Event volume around its typical baseline (1.3x). Average event tone was negative (-3.57). Average Goldstein score was -0.27.,1
Algeria,2020,0.6286559850236756,-3.228272376042871,0.0006809989698991,0.741013895365095,False,Event volume around its typical baseline (0.7x). Average event tone was negative (-3.23). Average Goldstein score was 0.63.,1
Algeria,2021,0.3590794709737823,-2.805572912502241,0.0008566981952238,1.0078558423635848,False,Event volume around its typical baseline (1.0x). Average event tone was negative (-2.81). Average Goldstein score was 0.36.,1
Algeria,2022,1.376922359379372,-1.5315074381838825,0.000742088722037,0.8952765003256592,False,Event volume around its typical baseline (0.9x). Average event tone was negative (-1.53). Average Goldstein score was 1.38.,1
Algeria,2023,1.0874837511606317,-1.7317997557380906,0.0005446067383094,0.6276075227116102,False,Event volume around its typical baseline (0.6x). Average event tone was negative (-1.73). Average Goldstein score was 1.09.,1
Algeria,2024,0.9985619282314414,-1.799312707500394,0.0005265318949863,0.633644272469518,False,Event volume around its typical baseline (0.6x). Average event tone was negative (-1.80). Average Goldstein score was 1.00.,1
Algeria,2025,1.055233666744723,-2.002127637970063,0.0006136777213705,0.9156841904738802,False,Event volume around its typical baseline (0.9x). Average event tone was negative (-2.00). Average Goldstein score was 1.06.,1
Argentina,1980,1.146855563234278,4.850978176305041,0.0040056492341778,1.0,True,Event volume around its typical baseline (1.0x). Average event tone was positive (4.85). Average Goldstein score was 1.15.,0
Argentina,1981,0.9157181571815718,4.864383382541313,0.00600711633053,1.4996610984493683,False,Event volume around its typical baseline (1.5x). Average event tone was positive (4.86). Average Goldstein score was 0.92.,0
Argentina,1982,-0.2203732503888023,4.332525718346339,0.0530924183650284,10.604945860744758,False,An extreme spike in event volume far above its typical baseline (10.6x). Average event tone was positive (4.33). Average Goldstein score was -0.22.,2
Argentina,1983,0.1175146250664775,4.700694375166943,0.0131409517519538,0.6247165890484742,False,Event volume around its typical baseline (0.6x). Average event tone was positive (4.70). Average Goldstein score was 0.12.,0
Argentina,1984,0.592515870364183,4.659660835362053,0.0124291546625592,0.6520542740394358,False,Event volume around its typical baseline (0.7x). Average event tone was positive (4.66). Average Goldstein score was 0.59.,0
Argentina,1985,0.4542734073906141,4.747158601842933,0.008038237728141,0.4532400005083478,False,Event volume around its typical baseline (0.5x). Average event tone was positive (4.75). Average Goldstein score was 0.45.,0
Argentina,1986,0.964111684154366,4.44502449455692,0.0094930329857436,0.5119863114498717,False,Event volume around its typical baseline (0.5x). Average event tone was positive (4.45). Average Goldstein score was 0.96.,0
Argentina,1987,0.8008482871125615,4.34453073726484,0.0105894405951185,0.5504222253005006,False,Event volume around its typical baseline (0.6x). Average event tone was positive (4.34). Average Goldstein score was 0.80.,0
Argentina,1988,1.0190306218297955,3.7120043406364,0.008768383012816,0.8165626251000067,False,Event volume around its typical baseline (0.8x). Average event tone was positive (3.71). Average Goldstein score was 1.02.,0
Argentina,1989,0.7720446473871129,4.1975131888362265,0.0066010750322195,0.6692325019801906,False,Event volume around its typical baseline (0.7x). Average event tone was positive (4.20). Average Goldstein score was 0.77.,0
Argentina,1990,1.0912922218779044,4.309110496562486,0.0054058391848371,0.6215012800743541,False,Event volume around its typical baseline (0.6x). Average event tone was positive (4.31). Average Goldstein score was 1.09.,0
Argentina,1991,1.7719172175912623,4.435140988572704,0.0042312533189458,0.5178027624838198,False,Event volume around its typical baseline (0.5x). Average event tone was positive (4.44). Average Goldstein score was 1.77.,0
Argentina,1992,1.7049438202247196,4.354518659737639,0.0046101232844139,0.6475621462220671,False,Event volume around its typical baseline (0.6x). Average event tone was positive (4.35). Average Goldstein score was 1.70.,0
Argentina,1993,1.2802756508422668,4.496685904788559,0.004377726419232,0.7390644952033487,False,Event volume around its typical baseline (0.7x). Average event tone was positive (4.50). Average Goldstein score was 1.28.,0
Argentina,1994,0.7600858369098713,4.531016028635279,0.0072745999624877,1.441884363547902,False,Event volume around its typical baseline (1.4x). Average event tone was positive (4.53). Average Goldstein score was 0.76.,0
Argentina,1995,1.0123264102248992,4.631485437987057,0.0076383772560545,1.4746162704232677,False,Event volume around its typical baseline (1.5x). Average event tone was positive (4.63). Average Goldstein score was 1.01.,0
Argentina,1996,1.2721583455513537,5.151567289657423,0.0072650387231044,1.2912373811023194,False,Event volume around its typical baseline (1.3x). Average event tone was positive (5.15). Average Goldstein score was 1.27.,0
Argentina,1997,1.4073493083003945,5.431566064444613,0.0069182057508595,1.109901106164916,False,Event volume around its typical baseline (1.1x). Average event tone was positive (5.43). Average Goldstein score was 1.41.,0
Argentina,1998,1.175535691644479,4.961012322126996,0.0055413109599306,0.8277050172619849,False,Event volume around its typical baseline (0.8x). Average event tone was positive (4.96). Average Goldstein score was 1.18.,0
Argentina,1999,1.4358281958526524,5.378422785623817,0.0062019714474874,0.8952674992355596,False,Event volume around its typical baseline (0.9x). Average event tone was positive (5.38). Average Goldstein score was 1.44.,0
Argentina,2000,1.0560358323186645,5.196550803083518,0.0041941853178685,0.6247873225996362,False,Event volume around its typical baseline (0.6x). Average event tone was positive (5.20). Average Goldstein score was 1.06.,0
Argentina,2001,0.9657581018518516,5.3350854847609055,0.0054959930953361,0.912327879065376,False,Event volume around its typical baseline (0.9x). Average event tone was positive (5.34). Average Goldstein score was 0.97.,0
Argentina,2002,0.888189809539313,5.134739697315887,0.0047754321741503,0.8421783887219061,False,Event volume around its typical baseline (0.8x). Average event tone was positive (5.13). Average Goldstein score was 0.89.,0
Argentina,2003,0.7489038167938935,5.248597005397763,0.004978636894589,0.9497991570231472,False,Event volume around its typical baseline (0.9x). Average event tone was positive (5.25). Average Goldstein score was 0.75.,0
Argentina,2004,1.3170858057831771,5.327659233485694,0.0040607522876817,0.7916863493319203,False,Event volume around its typical baseline (0.8x). Average event tone was positive (5.33). Average Goldstein score was 1.32.,0
Argentina,2005,0.4013001083423617,4.984779035470242,0.0028127648842242,0.5983333145697443,False,Event volume around its typical baseline (0.6x). Average event tone was positive (4.98). Average Goldstein score was 0.40.,0
Argentina,2006,0.7009742834485103,5.282313053713545,0.001993290977219,0.4504901641248451,False,Event volume around its typical baseline (0.5x). Average event tone was positive (5.28). Average Goldstein score was 0.70.,0
Argentina,2007,0.4887532496891598,4.886652846047482,0.0020730272820081,0.5566406076775244,False,Event volume around its typical baseline (0.6x). Average event tone was positive (4.89). Average Goldstein score was 0.49.,0
