Country,Year,Spending
Algeria,1980,0.02102063295734953
Algeria,1981,0.01818048874752571
Algeria,1982,0.020630974406413816
Algeria,1983,0.019512132516513226
Algeria,1984,0.0175512400703414
Algeria,1985,0.016437068968473613
Algeria,1986,0.017872136664519762
Algeria,1987,0.01856376276758361
Algeria,1988,0.0174969874927024
Algeria,1989,0.015401237785633725
Algeria,1990,0.014610705859434187
Algeria,1991,0.012108340592460793
Algeria,1992,0.021401321298967154
Algeria,1993,0.025056315771778234
Algeria,1994,0.03146430012101654
Algeria,1995,0.02935027107367119
Algeria,1996,0.030940883958553014
Algeria,1997,0.036374034681332434
Algeria,1998,0.03965673787930712
Algeria,1999,0.03755079982706442
Algeria,2000,0.034333939614405236
Algeria,2001,0.035204628469701085
Algeria,2002,0.03414719731033188
Algeria,2003,0.030026245094650086
Algeria,2004,0.030487570121184807
Algeria,2005,0.02732286067495574
Algeria,2006,0.025137069144358624
Algeria,2007,0.027693285030412833
Algeria,2008,0.02867405787654165
Algeria,2009,0.03512960383466804
Algeria,2010,0.031899815466736675
Algeria,2011,0.039628827473347956
Algeria,2012,0.04105898258043892
Algeria,2013,0.04423824538760416
Algeria,2014,0.04964878297829022
Algeria,2015,0.05550742159618942
Algeria,2016,0.056527183542078745
Algeria,2017,0.053071149225291075
Algeria,2018,0.04929927003116094
Algeria,2019,0.053269585375099515
Algeria,2020,0.058861482211090124
Algeria,2021,0.04890032705969967
Algeria,2022,0.040574881146029404
Algeria,2023,0.0739039327356489
Algeria,2024,0.07971457235512186
Algeria,2025,0.0883062559516761
Argentina,1980,0.030989583333333334
Argentina,1981,0.034653465346534656
Argentina,1982,0.027045579352004395
Argentina,1983,0.02738812785388128
Argentina,1984,0.02162039144287665
Argentina,1985,0.02299717247879359
Argentina,1986,0.023136787492112457
Argentina,1987,0.022843868799903997
Argentina,1988,0.021249392231366265
Argentina,1989,0.018803655923922257
Argentina,1990,0.014509092122578613
Argentina,1991,0.015069265552963548
Argentina,1992,0.014212222334877693
Argentina,1993,0.014228029005729266
Argentina,1994,0.014570385332504661
Argentina,1995,0.014730731072115087
Argentina,1996,0.01241227264376263
Argentina,1997,0.011401391113129527
Argentina,1998,0.011363180218633341
Argentina,1999,0.012203595475499342
Argentina,2000,0.011488226766688717
Argentina,2001,0.011842335418705828
Argentina,2002,0.010918804785974791
Argentina,2003,0.010608950570483814
Argentina,2004,0.008832953588335295
Argentina,2005,0.008471547838859613
Argentina,2006,0.007882338774614688
Argentina,2007,0.007925481750313618
Argentina,2008,0.007627564753904611
Argentina,2009,0.008865085766863847
Argentina,2010,0.008148781182206953
Argentina,2011,0.007642870953102354
Argentina,2012,0.007848247353647416
Argentina,2013,0.008377364272139202
Argentina,2014,0.008781009242367648
Argentina,2015,0.008501285974638152
Argentina,2016,0.008092453627175634
Argentina,2017,0.008477548112594397
Argentina,2018,0.007323003475385411
Argentina,2019,0.006996961343791967
Argentina,2020,0.007341115939487435
Argentina,2021,0.006317886192547052
Argentina,2022,0.006845864092919559
Argentina,2023,0.007517538116188501
Argentina,2024,0.006547720625278224
Argentina,2025,0.005631741127021983
Australia,1980,0.022489569040351712
Australia,1981,0.022966019447106432
Australia,1982,0.023932652161369167
Australia,1983,0.02519811819165262
Australia,1984,0.025052336507001262
Australia,1985,0.025232683787051655
Australia,1986,0.025404297515786677
Australia,1987,0.02372988832413927
Australia,1988,0.021580613848571694
Australia,1989,0.02045936631690318
Australia,1990,0.02073530228369592
Australia,1991,0.02160888081503335
Australia,1992,0.02164693163810747
Australia,1993,0.021723774068362157
Australia,1994,0.021106525584137524
Australia,1995,0.020166377735180156
Australia,1996,0.019267426065250434
Australia,1997,0.018617525961647268
Australia,1998,0.018656421080403666
Australia,1999,0.018839958514078152
Australia,2000,0.01820957998658883
Australia,2001,0.018597273264857675
Australia,2002,0.018649042525656537
Australia,2003,0.01839608184850215
Australia,2004,0.018191683833542832
